domain,fraction,fold,repeat,n_train,n_test,MAE,skill
movie,0.25,45,2,225,100,0.525,0.32188065099457497
movie,0.5,45,0,450,100,0.49,0.36708860759493667
movie,0.5,45,1,450,100,0.545,0.2960475329372254
movie,0.5,45,2,450,100,0.51,0.3412554895375871
movie,0.75,45,0,675,100,0.495,0.36063032808059925
movie,0.75,45,1,675,100,0.49,0.36708860759493667
movie,0.75,45,2,675,100,0.52,0.3283389305089123
movie,1.0,45,0,900,100,0.495,0.36063032808059925
movie,0.25,46,0,225,100,0.54,0.3421052631578948
movie,0.25,46,1,225,100,0.605,0.2629142300194933
movie,0.25,46,2,225,100,0.555,0.32383040935672514
movie,0.5,46,0,450,100,0.54,0.3421052631578948
movie,0.5,46,1,450,100,0.535,0.34819688109161795
movie,0.5,46,2,450,100,0.515,0.37256335282651076
movie,0.75,46,0,675,100,0.525,0.36038011695906436
movie,0.75,46,1,675,100,0.56,0.317738791423002
movie,0.75,46,2,675,100,0.52,0.3664717348927876
movie,1.0,46,0,900,100,0.51,0.378654970760234
movie,0.25,47,0,225,100,0.615,0.20826777285080822
movie,0.25,47,1,225,100,0.5,0.35631526248033185
movie,0.25,47,2,225,100,0.545,0.29838363610356167
movie,0.5,47,0,450,100,0.585,0.24688885710198838
movie,0.5,47,1,450,100,0.525,0.3241310256043485
movie,0.5,47,2,450,100,0.585,0.24688885710198838
movie,0.75,47,0,675,100,0.55,0.291946788728365
movie,0.75,47,1,675,100,0.465,0.4013731941067086
movie,0.75,47,2,675,100,0.54,0.30482048347875834
movie,1.0,47,0,900,100,0.53,0.3176941782291517
movie,0.25,48,0,225,100,0.51,0.3112038176415859
movie,0.25,48,1,225,100,0.555,0.25042768390407866
movie,0.25,48,2,225,100,0.555,0.25042768390407866
movie,0.5,48,0,450,100,0.535,0.27743929889852625
movie,0.5,48,1,450,100,0.555,0.25042768390407866
movie,0.5,48,2,450,100,0.53,0.2841922026471382
movie,0.75,48,0,675,100,0.52,0.29769801014436204
movie,0.75,48,1,675,100,0.525,0.2909451063957501
movie,0.75,48,2,675,100,0.535,0.27743929889852625
movie,1.0,48,0,900,100,0.575,0.22341606890963117
movie,0.25,49,0,225,100,0.52,0.3157894736842105
movie,0.25,49,1,225,100,0.57,0.2500000000000001
movie,0.25,49,2,225,100,0.55,0.2763157894736842
movie,0.5,49,0,450,100,0.565,0.25657894736842113
